latitude,longitude,depth,taxonkey,scientificname,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,basisofrecord
-78.06324,-169.99115,549.0,2278371,"Astrotoma Lyman, 1875",1,50,350.0,702.0,5678.0,2278371.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,350,Ophiuroidea,1,50,350.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2314291,"Polyeunoa laevis McIntosh, 1885",1,42,256.0,1079.0,7078.0,2314290.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2276854,"Ophioplinthus gelida (Koehler, 1901)",1,50,350.0,,9774488.0,2276771.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,9469348,Stolidobranchia,1,44,356.0,9469348.0,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,7078,Polynoidae,1,42,256.0,1079.0,7078.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,350,Ophiuroidea,1,50,350.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,3592,Chaetopteridae,1,42,256.0,,3592.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,356,Ascidiacea,1,44,356.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,710,Pennatulacea,1,43,206.0,710.0,,,PRESERVED_SPECIMEN
